Designator,Mid X,Mid Y,Rotation,Layer
BT101,86.1,-101.4,115.0,bottom
C101,42.75,-98.5,135.0,bottom
D102,57.0,-83.0,315.0,bottom
D103,61.0,-83.0,315.0,bottom
D104,65.0,-83.0,315.0,bottom
D105,69.0,-83.0,315.0,bottom
D107,53.0,-87.0,315.0,bottom
D108,57.0,-87.0,315.0,bottom
D109,61.0,-87.0,315.0,bottom
D110,65.0,-87.0,315.0,bottom
D111,69.0,-87.0,315.0,bottom
D112,73.0,-87.0,315.0,bottom
D113,53.0,-91.0,315.0,bottom
D114,57.0,-91.0,315.0,bottom
D115,61.0,-91.0,315.0,bottom
D116,65.0,-91.0,315.0,bottom
D117,69.0,-91.0,315.0,bottom
D118,73.0,-91.0,315.0,bottom
D119,53.0,-95.0,315.0,bottom
D120,57.0,-95.0,315.0,bottom
D121,61.0,-95.0,315.0,bottom
D122,65.0,-95.0,315.0,bottom
D123,69.0,-95.0,315.0,bottom
D124,73.0,-95.0,315.0,bottom
D125,53.0,-99.0,315.0,bottom
D126,57.0,-99.0,315.0,bottom
D127,61.0,-99.0,315.0,bottom
D128,65.0,-99.0,315.0,bottom
D129,69.0,-99.0,315.0,bottom
D130,73.0,-99.0,315.0,bottom
D132,57.0,-103.0,315.0,bottom
D133,61.0,-103.0,315.0,bottom
D134,65.0,-103.0,315.0,bottom
D135,69.0,-103.0,315.0,bottom
D137,43.0,-85.8,315.0,bottom
D138,37.6,-111.0,135.0,bottom
D139,45.8,-123.4,90.0,bottom
D140,77.375,-123.85,90.0,bottom
D141,86.0,-116.0,45.0,bottom
D142,85.0,-86.2,225.0,bottom
SW101,62.4,-118.1,0.0,bottom
U101,44.75,-104.0,315.0,bottom
